code,name,host_locality,host_unit,host_unit_type,region_code,catchments_served,source,notes
IC01,Jinja Boma Grounds,Jinja,Jinja City,City,PR-SOUTH-EASTERN,Iganga; South Eastern,S1; S4; S5,One Jinja City shortlist row lists Mbale
IC02,Mukono District Headquarters,Mukono,Mukono,District,PR-EAST-CENTRAL,East Central,S1; S4; S5,2025 interview venue
IC03,Soroti Sports Ground,Soroti,Soroti City,City,PR-MID-EASTERN,Mid-Eastern,S1; S4; S5,2025 interview venue
IC04,Moroto Boma Grounds,Moroto,Moroto,District,PR-NORTH-EASTERN,North Eastern,S1; S4; S5,2025 interview venue
IC05,Kotido Boma Grounds,Kotido,Kotido,District,PR-NORTH-EASTERN,North Eastern,S1; S4; S5,2025 interview venue
IC06,Mbale Municipal Stadium,Mbale,Mbale City,City,PR-EASTERN,Eastern,S1; S4; S5,One Jinja City shortlist row lists Mbale
IC07,Prisons Show Grounds Luzira,Luzira,Kampala,City,PR-KAMPALA-EXTRA,Central / Kampala Extra,S1; S4; S5,2025 interview venue
IC08,Kasana-Luwero Play Grounds,Luwero,Luwero,District,PR-NORTH-CENTRAL,North Central,S1; S4; S5,2025 interview venue
IC09,Hoima Boma Grounds,Hoima,Hoima City,City,PR-MID-WESTERN,Mid-Western,S1; S4; S5,2025 interview venue
IC10,Mpigi Police Playground,Mpigi,Mpigi,District,PR-CENTRAL,Central / Kampala Extra,S1; S4; S5,Central/Kampala Extra split needs confirmation
IC11,Ssaza Grounds,Masaka,Masaka City,City,PR-SOUTHERN,Kooki; Southern,S1; S4; S5,"Includes Kalangala in notice, although no shortlisted candidate"
IC12,Arua Central Police Grounds,Arua,Arua City,City,PR-NORTH-WESTERN,North Western,S1; S4; S5,2025 interview venue
IC13,Kakyeka Stadium,Mbarara,Mbarara City,City,PR-SOUTH-WESTERN,South Western,S1; S4; S5,2025 interview venue
IC14,Fort Portal Boma Grounds,Fort Portal,Fort Portal City,City,PR-WESTERN,Western,S1; S4; S5,2025 interview venue
IC15,Mubende District Headquarters,Mubende,Mubende,District,PR-MID-CENTRAL,Mid Central,S1; S4; S5,2025 interview venue
IC16,Lira Mayor's Garden,Lira,Lira City,City,PR-MID-NORTHERN,Mid Northern,S1; S4; S5,2025 interview venue
IC17,Gulu Kaunda Grounds,Gulu,Gulu City,City,PR-NORTHERN,Northern,S1; S4; S5,Source spells Gulu Kauda; attached shortlist says Kaunda
IC18,Masindi Stadium,Masindi,Masindi,District,PR-MID-WESTERN,Mid-Western,S1; S4; S5,2025 interview venue
IC19,Kabale Stadium,Kabale,Kabale,District,PR-KIGEZI,Kigezi,S1; S4; S5,2025 interview venue
